model,outcome,weight_col,term,estimate,std_error_cluster,t_stat,p_value,ci_low,ci_high,n_rows,n_clusters
broad_panel_controls,mean_embedding_score,orientation_docs,type[missing],-0.15779649438564763,0.05140793949385114,-3.0694965785298893,0.002972446835337855,-0.25855605579359586,-0.057036932977699406,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,type[network],-0.009605091876535347,0.08351579457375609,-0.1150092856753307,0.9087410819182394,-0.1732960492410973,0.15408586548802658,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,type[policy / think tank],-0.013812593525618873,0.033798195085975064,-0.4086784365402566,0.6839249456681735,-0.08005705589413001,0.052431868842892256,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,type[program / project],0.04535565788880188,0.03955357947473444,1.1466890858202512,0.2551075107774103,-0.03216935788167762,0.12288067365928138,1080,77
broad_panel_controls,sensitive_curated_share,total_docs,Intercept,0.02957283318131288,0.005633057925785323,5.249872018170315,1.2242425832278697e-06,0.01853203964677365,0.040613626715852114,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,ci_present,-0.021824213269136854,0.009112937852514226,-2.3948603208256967,0.018964542926925794,-0.03968557146006474,-0.003962855078208972,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,ci_closed,0.02871386351495539,0.01629588026274393,1.7620320628276696,0.08188387826443011,-0.00322606180002271,0.06065378882993349,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,post_ci_closure,-0.008386429059681443,0.014326698744479532,-0.5853706572083093,0.5599461391820785,-0.036466758598861324,0.01969390047949844,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,years_since_ci_closure,4.9105738315390404e-06,0.0038006056458967123,0.0012920503438289355,0.9989723097407264,-0.007444276492126017,0.007454097639789095,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,year_centered,0.000508010751743178,0.0006864903295230546,0.7400115193117479,0.46145919992635753,-0.0008375102941220089,0.001853531797608365,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,region[Europe],0.0015784003640249566,0.008492042419444018,0.18586816764020547,0.8530186214171778,-0.015066002778085317,0.01822280350613523,1250,81
broad_panel_controls,sensitive_curated_share,total_docs,region[Asia],0.024627581000446798,0.029116472290892537,0.8458298366093671,0.4001705263062404,-0.032440704689702574,0.08169586669059617,1250,81
