institute_id,institute_name,low_volume_flag,theory_typology,theory_typology_confidence,theory_typology_borderline,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,overall_rival_share,overall_collaborator_share,overall_neutral_share,overall_oriented_share,overall_rival_among_oriented,overall_collaborator_among_oriented,security_signal,economic_signal,score_security_hawks,score_selective_engagers,score_economic_or_sti_pragmatists,score_dual_track_institutes,score_broad_neutral_analysts
center_for_china_studies,Center for China Studies,True,low_volume_unassigned,0.0,True,society_culture,1.0,security_strategy,0.0,1.0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
center_for_chinese_studies,Center for Chinese Studies,False,economic_or_sti_pragmatists,0.032575,True,society_culture,0.424896,economy_trade,0.191243,0.233653,False,False,0.026085,0.059805,0.914109,0.08589,0.303702,0.696298,0.00217,0.021363,0.380303,0.522728,0.555303,0.433333,0.475757
center_for_chinese_studies_berkeley,Center for Chinese Studies,False,selective_engagers,0.002272,True,society_culture,0.53585,security_strategy,0.220357,0.315493,False,False,0.018633,0.057707,0.92366,0.07634,0.244079,0.755921,0.00783,0.010148,0.456061,0.458333,0.432576,0.424242,0.415152
center_for_chinese_studies_hawaii_manoa,Center for Chinese Studies,False,security_hawks,0.000757,True,society_culture,0.553845,security_strategy,0.205005,0.34884,False,False,0.019173,0.051756,0.929071,0.070929,0.270313,0.729687,0.008057,0.003407,0.456818,0.339394,0.289394,0.34697,0.456061
center_for_chinese_studies_michigan,Center for Chinese Studies,False,security_hawks,0.000757,True,society_culture,0.553845,security_strategy,0.205005,0.34884,False,False,0.019173,0.051756,0.929071,0.070929,0.270313,0.729687,0.008057,0.003407,0.456818,0.339394,0.289394,0.34697,0.456061
center_for_east_asian_studies,Center for East Asian Studies,False,economic_or_sti_pragmatists,0.046969,True,society_culture,0.752447,economy_trade,0.06749,0.684957,False,False,0.005959,0.077103,0.916938,0.083062,0.071742,0.928258,0.0,0.009423,0.151515,0.39697,0.443939,0.227273,0.362879
center_for_international_and_regional_studies_china_related_work,Center for International and Regional Studies (China-related work),False,broad_neutral_analysts,0.49697,False,society_culture,0.354506,economy_trade,0.32725,0.027256,False,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.080303,0.060227,0.291288,0.036364,0.788258
center_on_u_s_china_relations,Center on U.S.-China Relations,False,security_hawks,0.262121,False,security_strategy,0.447977,governance_law,0.174078,0.273899,False,False,0.053849,0.076009,0.870142,0.129858,0.414676,0.585324,0.037209,0.013549,0.879545,0.617424,0.383333,0.6,0.293939
centre_d_tudes_fran_ais_sur_la_chine_contemporaine_cefc,Centre d'Études Français sur la Chine Contemporaine (CEFC),False,broad_neutral_analysts,0.215151,False,society_culture,0.465902,security_strategy,0.216683,0.249219,False,False,0.01536,0.037484,0.947156,0.052844,0.290667,0.709333,0.00691,0.007971,0.453788,0.384848,0.338636,0.381818,0.668939
centre_for_china_studies,Centre for China Studies,False,dual_track_institutes,0.0,True,security_strategy,0.54572,society_culture,0.19336,0.35236,False,False,0.037406,0.094855,0.867739,0.132261,0.28282,0.71718,0.031072,0.022898,0.820454,0.693939,0.45303,0.660606,0.190909
china_africa_research_initiative,China Africa Research Initiative,False,economic_or_sti_pragmatists,0.258333,False,economy_trade,0.654821,society_culture,0.125982,0.528839,False,False,0.003207,0.159074,0.837718,0.162281,0.019762,0.980238,8.6e-05,0.128834,0.202273,0.713636,0.971969,0.275758,0.094697
china_institute,China Institute,False,selective_engagers,0.0,True,security_strategy,0.215539,society_culture,0.182101,0.033438,False,True,0.003032,0.072037,0.924931,0.075069,0.04039,0.95961,0.0,0.019901,0.176515,0.553788,0.784849,0.157576,0.659848
china_institute_birmingham,China Institute,False,economic_or_sti_pragmatists,0.049242,True,security_strategy,0.412449,society_culture,0.200047,0.212402,False,False,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814,0.005515,0.031279,0.442803,0.693182,0.742424,0.362121,0.366288
china_institute_chulalongkorn,China Institute,False,economic_or_sti_pragmatists,0.04356,True,security_strategy,0.413084,society_culture,0.199412,0.213672,False,False,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814,0.005515,0.031279,0.450379,0.698864,0.742424,0.362121,0.358712
china_institute_csun,China Institute,False,economic_or_sti_pragmatists,0.049242,True,security_strategy,0.412449,society_culture,0.200047,0.212402,False,False,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814,0.005515,0.031279,0.442803,0.693182,0.742424,0.362121,0.366288
china_institute_malaya,China Institute,False,economic_or_sti_pragmatists,0.049242,True,security_strategy,0.413084,society_culture,0.199412,0.213672,False,False,0.006735,0.090614,0.902651,0.097349,0.069184,0.930816,0.005515,0.031281,0.444697,0.719697,0.768939,0.354546,0.334091
china_institute_waterloo,China Institute,False,economic_or_sti_pragmatists,0.04356,True,security_strategy,0.413084,society_culture,0.199412,0.213672,False,False,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814,0.005515,0.031279,0.450379,0.698864,0.742424,0.362121,0.358712
china_matters,China Matters,False,broad_neutral_analysts,0.253029,False,security_strategy,0.349201,economy_trade,0.243135,0.106066,False,False,0.003334,0.014606,0.982059,0.01794,0.185842,0.814158,0.002074,0.011197,0.334849,0.447727,0.579546,0.245455,0.832575
china_policy_institute_cpi_analysis,China Policy Institute / CPI Analysis,False,broad_neutral_analysts,0.19697,False,economy_trade,0.264016,security_strategy,0.213915,0.050101,False,False,0.01773,0.039269,0.943001,0.056999,0.311058,0.688942,0.013699,0.012622,0.565151,0.444697,0.507575,0.460606,0.762121
china_research_center,China Research Center,True,low_volume_unassigned,0.0,True,science_technology,0.5,society_culture,0.5,0.0,True,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_research_centre,China Research Centre,True,low_volume_unassigned,0.0,True,security_strategy,0.0,economy_trade,0.0,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_studies_centre,China Studies Centre,False,selective_engagers,0.0,True,security_strategy,0.49036,economy_trade,0.201072,0.289288,False,False,0.019506,0.069266,0.911229,0.088772,0.219731,0.780269,0.014482,0.015612,0.637121,0.603788,0.528788,0.49697,0.379545
china_studies_program,China Studies Institute,False,broad_neutral_analysts,0.256061,False,society_culture,0.404606,security_strategy,0.200214,0.204392,False,False,0.0,0.024234,0.975766,0.024234,0.0,1.0,0.0,0.002877,0.100758,0.299621,0.500757,0.059091,0.756818
china_studies_institute_yonsei,China Studies Institute,True,low_volume_unassigned,0.0,True,society_culture,0.629032,security_strategy,0.354839,0.274193,False,False,0.0,0.300165,0.699835,0.300165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_studies_institute_aascu,China Studies Institute,True,low_volume_unassigned,0.0,True,society_culture,1.0,security_strategy,0.0,1.0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_studies_institute,China Studies Institute,False,security_hawks,0.126516,False,security_strategy,0.66648,society_culture,0.16093,0.50555,False,False,0.01542,0.053147,0.931433,0.068567,0.22489,0.77511,0.01542,0.0,0.659849,0.399621,0.20644,0.242424,0.533333
china_studies_program_chulalongkorn,China Studies Program,True,low_volume_unassigned,0.0,True,society_culture,0.379428,security_strategy,0.339587,0.039841,False,True,0.045554,0.248631,0.705815,0.294185,0.154848,0.845152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_studies_program_washington,China Studies Program,True,low_volume_unassigned,0.0,True,society_culture,0.434928,security_strategy,0.286031,0.148897,False,False,0.028989,0.15822,0.812792,0.187209,0.154848,0.845152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_programme_twai,China programme,True,low_volume_unassigned,0.0,True,science_technology,0.286806,society_culture,0.242009,0.044797,False,True,0.0,0.120139,0.879861,0.120139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_programme_ifri,China programme,True,low_volume_unassigned,0.0,True,science_technology,0.286806,society_culture,0.242009,0.044797,False,True,0.0,0.120139,0.879861,0.120139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_programme,China programme,False,security_hawks,0.250758,False,security_strategy,0.384295,governance_law,0.243796,0.140499,False,False,0.053841,0.073163,0.872996,0.127004,0.423932,0.576068,0.034115,0.014141,0.852273,0.601515,0.433333,0.6,0.384849
china_programs,China programs,False,economic_or_sti_pragmatists,0.075758,True,economy_trade,0.40055,society_culture,0.21447,0.18608,False,False,0.030922,0.07101,0.898068,0.101932,0.303359,0.696641,0.012141,0.039604,0.575758,0.650757,0.726515,0.615151,0.270455
chinese_studies_program,Chinese Studies Program,False,security_hawks,0.047728,True,society_culture,0.517695,governance_law,0.18716,0.330535,False,False,0.035552,0.033334,0.931114,0.068886,0.516099,0.483901,0.024368,0.002068,0.652273,0.286364,0.145455,0.339394,0.604545
contemporary_china_studies_programme_ccsp,Contemporary China Studies Programme (CCSP),False,selective_engagers,0.0,True,society_culture,0.511848,economy_trade,0.153402,0.358446,False,False,0.014635,0.044013,0.941352,0.058648,0.24954,0.75046,0.00067,0.031902,0.248485,0.531818,0.67803,0.324242,0.629546
cornell_china_center,Cornell China Center,False,broad_neutral_analysts,0.22197,False,society_culture,0.305112,security_strategy,0.217821,0.087291,False,False,0.014069,0.035121,0.95081,0.04919,0.286013,0.713987,0.003737,0.011862,0.403788,0.433333,0.529545,0.390909,0.751515
