institute_id,institute_name,theory_typology,theory_typology_confidence,theory_typology_borderline,low_volume_flag,security_signal,economic_signal,dominant_domain,overall_rival_share,overall_collaborator_share,overall_neutral_share,overall_oriented_share,overall_rival_among_oriented,overall_collaborator_among_oriented,security_strategy_rival_share,security_strategy_collaborator_share,economy_trade_collaborator_share,science_technology_collaborator_share,governance_law_rival_share,society_culture_collaborator_share,is_security_hawk,is_economic_or_sti_pragmatist,is_selective_engager,is_dual_track_institute,is_broad_neutral_analyst,region,country,organization_type,institute_type_category,parent_institution,funding_source_if_available,china_focus_area,publication_indexed_share,china_coauthorship_share,policy_output_share,confucius_institute_present,confucius_institute_closed,ci_closure_year,china_funding_present,china_funding_type,china_university_partner,joint_chinese_center,china_agenda_dependence,director_name,director_start_year,director_end_year,director_background_type,director_security_policy_background,director_china_academic_background,director_prior_affiliation_china,director_change_year,director_change_post_ci_closure,year_established,region_collapsed,region_europe,region_asia_pacific,region_latin_america,policy_think_tank,program_or_network,university_embedded,funding_disclosed,philanthropic_funding,government_funding,year_established_unknown,founded_since_2010,year_established_centered
china_institute_chulalongkorn,China Institute,economic_or_sti_pragmatists,0.04356,True,False,0.005515,0.031279,security_strategy,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814,0.579063,4.50318,1.454621,1.499952,0.0,1.344807,0,1,0,0,0,Asia,Thailand,University institute,academic center / institute,Chulalongkorn University,,China studies and Thailand-China relations,,,,,,,,,,,,,,,,,,,,,,Asia-Pacific,0,1,0,0,0,1,0,0,0,1,0,0.0
china_institute_csun,China Institute,economic_or_sti_pragmatists,0.049242,True,False,0.005515,0.031279,security_strategy,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814,0.579063,4.50318,1.454621,1.499952,0.0,1.344807,0,1,0,0,0,North America,United States,University institute,academic center / institute,"California State University, Northridge",,"U.S.-China cultural exchange, academic collaboration, global understanding",,,,,,,,,,,,,,,,,,,,,,North America,0,0,0,0,0,1,0,0,0,1,0,0.0
china_institute_malaya,China Institute,economic_or_sti_pragmatists,0.049242,True,False,0.005515,0.031281,security_strategy,0.006735,0.090614,0.902651,0.097349,0.069184,0.930816,0.579063,4.50318,1.454621,1.500215,0.0,1.344807,0,1,0,0,0,Asia,Malaysia,University institute,academic center / institute,University of Malaya,,China studies and Malaysia-China relations,,,,,,,,,,,,,,,,,,,,,,Asia-Pacific,0,1,0,0,0,1,0,0,0,1,0,0.0
china_institute_waterloo,China Institute,economic_or_sti_pragmatists,0.04356,True,False,0.005515,0.031279,security_strategy,0.006735,0.090611,0.902654,0.097346,0.069186,0.930814,0.579063,4.50318,1.454621,1.499952,0.0,1.344807,0,1,0,0,0,North America,Canada,University institute,academic center / institute,University of Waterloo,,"China engagement, research, exchange",,,,,,,,,,,,,,,,,,,,,,North America,0,0,0,0,0,1,0,0,0,1,0,0.0
china_matters,China Matters,broad_neutral_analysts,0.253029,False,False,0.002074,0.011197,security_strategy,0.003334,0.014606,0.982059,0.01794,0.185842,0.814158,0.087096,0.094873,0.08833,0.413907,0.006831,0.013086,0,0,0,0,1,Oceania,Australia,Policy organization,policy / think tank,Independent policy organization,,Australia-China policy dialogue,,,,,,,,,,,,,,,,,,,,,2016.0,Asia-Pacific,0,1,0,1,0,0,0,0,0,0,1,5.5
china_policy_institute_cpi_analysis,China Policy Institute / CPI Analysis,broad_neutral_analysts,0.19697,False,False,0.013699,0.012622,economy_trade,0.01773,0.039269,0.943001,0.056999,0.311058,0.688942,5.274078,5.680855,3.573556,1.576275,0.18315,3.0341780000000003,0,0,0,0,1,Europe,United Kingdom,Research institute / analysis platform,academic center / institute,University of Nottingham-linked analysis platform,,"Contemporary China policy, politics, economy",,,,,,,,,,,,,,,,,,,,,2006.0,Europe,1,0,0,0,0,1,0,0,0,0,0,-4.5
china_research_center,China Research Center,low_volume_unassigned,0.0,True,True,0.0,0.0,science_technology,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,Asia,South Korea,Research center,academic center / institute,Dongseo University,,China studies and regional issues,,,,,,,,,,,,,,,,,,,,,,Asia-Pacific,0,1,0,0,0,1,0,0,0,1,0,0.0
china_research_centre,China Research Centre,low_volume_unassigned,0.0,True,True,0.0,0.0,security_strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,Asia,Japan,Research center,academic center / institute,Kwansei Gakuin University,,Contemporary China research,,,,,,,,,,,,,,,,,,,,,,Asia-Pacific,0,1,0,0,0,1,0,0,0,1,0,0.0
china_studies_centre,China Studies Centre,selective_engagers,0.0,True,False,0.014482,0.015612,security_strategy,0.019506,0.069266,0.911229,0.088772,0.219731,0.780269,2.157857,6.076577,1.852111,0.5926180000000001,0.340111,1.426467,0,0,1,0,0,Oceania,Australia,University research center,academic center / institute,University of Sydney,University endowment + grants,"China-Australia relations, Greater China studies",,,,,,,,,,,,,,,,,,,,,2011.0,Asia-Pacific,0,1,0,0,0,1,1,1,0,0,1,0.5
china_studies_program,China Studies Institute,broad_neutral_analysts,0.256061,False,False,0.0,0.002877,society_culture,0.0,0.024234,0.975766,0.024234,0.0,1.0,0.0,0.2552,0.107309,0.223533,0.0,2.165654,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed/Other,0,0,0,0,0,0,0,0,0,1,0,0.0
